prospect_id,source,draft_year,name,position,consensus_grade,projected_round,projected_overall_pick
# Multi-source prospect ranking sample. Each row is one SITE's take on one
# prospect. The SAME prospect_id across different sources gets aggregated by
# compute-prospect-consensus.ts into a single normalized grade.
#
# Workflow:
#   1. Build your CSV with rows from multiple sites (KTC, DLF, NFLMDD, etc.).
#      Use the same prospect_id for the same person across sources.
#   2. npx tsx scripts/ingest-prospects.ts data/prospects.csv
#   3. npx tsx scripts/compute-prospect-consensus.ts
#   4. npx tsx scripts/compute-class-strength.ts
#
# Grades don't need to be on the same scale across sources — aggregation
# converts each source's grades to ranks within the draft_year, averages
# ranks per prospect, then maps back to a normalized 0-100 grade.
#
# Below: two prospects rated by three sites each. Grades vary in scale
# (8000s for KTC, 90s for NFLMDD, 7s for a scout-style grade) — the
# aggregator handles it.
example-2026-qb-1,KTC,2026,Example QB Prospect,QB,8750,1,1
example-2026-qb-1,DLF,2026,Example QB Prospect,QB,92,1,1
example-2026-qb-1,NFLMDD,2026,Example QB Prospect,QB,7.1,1,2
example-2026-wr-1,KTC,2026,Example WR Prospect,WR,8200,1,5
example-2026-wr-1,DLF,2026,Example WR Prospect,WR,88,1,6
example-2026-wr-1,NFLMDD,2026,Example WR Prospect,WR,6.8,1,4
example-2027-qb-1,KTC,2027,Example 2027 QB,QB,9100,1,1
example-2027-qb-1,DLF,2027,Example 2027 QB,QB,94,1,1
